id,bucket,source,L0_shell,L1_frame,L1_fill,L2_prefill,L3_empty,L4_pieces,L5_ghost,L6_dock,L7_hud,cheerful_1to5,clarity_L4_on_L3,clarity_L4_on_L2,oppressive_1to5,match_our_rules,learn,avoid,notes
ref-B-candy-jam-01,B,refs/B-candy-jam-store-01.jpg Color Candy Jam store,light peri-lavender ~#9ea9cc,candy frame multi,soft board,player multi candy only,shallow light wells (hue not depth),high-sat candy red orange green blue pink,n/a,none soft icons,icon HUD,5,4,N/A,1,low,开心浅壳+跳色块,洞浅靠色相分块非深井,实机商店截图 2026
ref-B-candy-jam-02,B,refs/B-candy-jam-store-02.jpg Color Candy Jam,light purple-gray ~#a090a8,candy frame,soft,player multi,shallow,high-sat multi,n/a,none,icon,5,4,N/A,1,low,愉快壳,浅盘,store
ref-B-peri-hex,B,refs/A-candy-periwinkle-dark-well.jpg HEX校准,periwinkle ~#737dc6,dark rim,deep navy fill,player multi only,deep navy ~#232a53,rainbow candy high-S,n/a,weak/none,white score pink heart,4,5,N/A,2,low,浅壳+深井标杆 cheerful∩clarity,空盘无预填,hex实测 shell/well
ref-B-graphite-mock,B,refs/A-mock-D-graphite-pop.jpg,mid cool gray ~#798690,soft frame,mid board,gray filled + dark path,dark well ~#20272d,orange magenta blue pop,n/a,none,dark pill BEST white score,3,5,N/A,2,med,中性壳+深槽+跳色tray,壳偏冷不够开心,P1结构近邻 mock
ref-B-gingham-RELABEL,A,refs/B-gingham-pink-shell-brown-well.jpg MISLABEL,slate mid-gray ~#586472 NOT pink,dark,deep navy well ~#1e2035,player multi industrial,near-black cells,blue green orange white,n/a,none,gold crown white score,2,5,N/A,4,low,深井清晰,文件名粉格不符实为工业灰壳,hex校准后改判偏A
ref-E-blockudoku-mono-blue,E,refs/B-blockudoku-store-01.jpg Blockudoku marketing,white ~#dfe0e4,thin gray frame,white grid,YES mono blue shades on board,white empty cells,mono blue pieces + tray same family,light blue ghost fill,none,dark type trophies,4,4,3,1,med,同系深浅分L2/L4 幽灵浅蓝,白洞无明度阶梯=我们浅盘风险,营销图非完整预填关
ref-C-batch6,C,refs/C-batch-batch6-01.jpg,varies,varies,varies,varies,varies,varies,n/a,n/a,n/a,4,3,med,2,med,batch6抽检,需细看,内部
ref-C-batch7,C,refs/C-batch-batch7-01.jpg,varies,varies,varies,varies,varies,varies,n/a,n/a,n/a,4,3,med,2,med,batch7抽检,需细看,内部
ref-C-batch10,C,refs/C-batch-batch10-01.jpg,varies,varies,varies,varies,varies,varies,n/a,n/a,n/a,4,3,med,1,med,batch10抽检,需细看,内部
ref-C-batch11,C,refs/C-batch-batch11-01.jpg,varies,varies,varies,varies,varies,varies,n/a,n/a,n/a,4,3,med,1,med,batch11抽检,需细看,内部
ref-C-batch13,C,refs/C-batch-batch13-01.jpg,varies,varies,varies,varies,varies,varies,n/a,n/a,n/a,4,3,med,1,med,batch13抽检,需细看,内部
ref-hex-ours-purple,E,refs/C-ours-purple-prefill-blue.jpg HEX,mid purple ~#6d5dbc,dark purple,dark,YES mono blue ~#1f3a76 board avg,deep purple well,tray pink/purple/yellow,n/a,dark dock,white HUD,3,3,2,3,high,结构完整,预填蓝与洞同冷相 L4_on_L2低,工程当前向
ref-hex-ours-sky,E,refs/C-ours-sky-mono-blue.jpg HEX,sky ~#4dbae9,white,white,YES mono blue light,light hole ~#85b9da,tray jump colors,weak,white,white,4,2,2,1,high,规则匹配,洞与预填糊,工程
ref-D-night-calm-as-dark,A,refs/C-mock-B-night-calm.jpg,deep navy shell ~#1b2c4c,dark,dark,varies,dark ~#1e2736,varies,n/a,n/a,n/a,2,4,med,4,med,深壳清晰,压抑不符合偏好,mock夜景
ref-P1-still-blue,E,refs/P1-still-blue-prefill.png STAGE4 mock,periwinkle shell #8B9AE8,frame #3E4558,fill #323848,YES mono blue muted #5A7A9E..,neutral well #2A303C,yellow pink placed + tray green yellow pink,pink ghost a~0.48,white@10% dock,white BEST SCORE,5,5,4.5,1,high,中性槽+跳色 L4_on_L2抬升,静帧非真机mesh,P1草案验证
ref-P1-still-red,E,refs/P1-still-red-prefill.png STAGE4 mock,#8B9AE8,#3E4558,#323848,YES mono red muted,#2A303C,green purple yellow + tray cyan yellow purple,n/a,white@10%,white HUD,5,5,5,1,high,红预填分离最好,静帧,P1
ref-P1-still-green,E,refs/P1-still-green-prefill.png STAGE4 mock,#8B9AE8,#3E4558,#323848,YES mono green muted,#2A303C,orange pink yellow + tray pink yellow purple,n/a,white@10%,white HUD,5,5,5,1,high,绿预填同样清晰,静帧,P1
